时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2008-08-13,三	13.50		16.22		13.50		16.00		+51.09%		25.68%		70,838,272	1,052,334,000	88.55		55082		
2008-08-14,四	14.60		17.20		14.55		16.00		+0.00%		16.56%		33,004,980	521,050,430	41.26		26407		
2008-08-15,五	16.60		17.54		16.21		17.12		+7.00%		8.31%		15,490,990	261,637,300	19.36		16142		
2008-08-18,一	16.70		17.15		16.36		16.71		-2.39%		4.61%		8,952,844	149,405,300	11.19		10360		
2008-08-19,二	16.40		17.80		16.22		17.27		+3.35%		9.46%		7,541,991	128,459,833	9.43		8604		
2008-08-20,三	16.90		18.65		16.75		18.08		+4.69%		11.00%		12,489,066	224,735,250	15.61		10971		
2008-08-21,四	17.63		17.80		16.27		16.27		-10.01%		8.46%		11,546,587	194,713,140	14.43		11054		
2008-08-22,五	15.75		16.08		15.30		15.31		-5.90%		4.79%		11,053,602	172,596,520	13.82		7371		
2008-08-25,一	15.18		15.40		14.71		15.14		-1.11%		4.51%		10,269,405	153,701,850	12.84		6002		
2008-08-26,二	14.82		14.90		13.72		14.20		-6.21%		7.79%		6,000,707	85,606,807	7.50		5004		
2008-08-27,三	14.02		14.99		13.74		14.50		+2.11%		8.80%		5,150,956	73,788,609	6.44		4987		
2008-08-28,四	14.28		14.72		14.08		14.43		-0.48%		4.41%		2,587,447	37,487,069	3.23		2785		
2008-08-29,五	14.50		14.68		13.48		14.26		-1.18%		8.32%		5,650,026	79,823,503	7.06		6461		
2008-09-01,一	13.92		14.48		13.70		14.08		-1.26%		5.47%		2,600,840	36,842,858	3.25		3980		
2008-09-02,二	13.75		14.16		13.00		13.85		-1.63%		8.24%		3,473,153	47,041,173	4.34		4395		
2008-09-03,三	13.70		14.31		13.21		14.28		+3.10%		7.94%		3,308,016	45,662,622	4.14		4391		
2008-09-04,四	14.00		15.39		13.87		14.38		+0.70%		10.64%		10,331,012	153,088,590	12.91		7023		
2008-09-05,五	13.70		13.75		12.94		12.94		-10.01%		5.63%		5,795,441	76,547,301	7.24		7056		
2008-09-08,一	12.40		12.68		11.65		11.65		-9.97%		7.96%		5,657,852	66,847,575	7.07		5442		
2008-09-09,二	11.19		11.58		10.84		10.97		-5.84%		6.35%		5,111,907	56,876,388	6.39		5025		
2008-09-10,三	10.75		11.47		10.75		11.10		+1.19%		6.56%		3,503,123	39,179,646	4.38		4367		
2008-09-11,四	11.00		11.00		10.42		10.49		-5.50%		5.23%		3,764,201	39,879,493	4.71		4476		
2008-09-12,五	10.40		10.67		10.30		10.45		-0.38%		3.53%		2,502,585	26,300,485	3.13		2690		
2008-09-16,二	10.25		10.59		10.15		10.30		-1.44%		4.21%		2,269,088	23,427,698	2.84		2325		
2008-09-17,三	10.41		10.58		10.03		10.16		-1.36%		5.34%		2,380,257	24,353,973	2.98		2299		
2008-09-18,四	9.87		10.25		9.60		10.18		+0.20%		6.40%		3,896,950	38,752,145	4.87		3308		
