时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2000-07-26,三	10.21		11.42		10.21		11.10		+71.03%		18.64%		69,236,400	759,442,000	60.10		0		
2000-07-27,四	10.99		11.08		10.80		11.07		-0.27%		2.52%		17,592,800	192,240,000	15.27		0		
2000-07-28,五	11.08		11.15		10.84		10.90		-1.54%		2.80%		6,048,800	66,134,000	5.25		0		
2000-07-31,一	10.83		10.83		10.56		10.65		-2.29%		2.48%		6,969,500	74,181,000	6.05		0		
2000-08-01,二	10.64		10.93		10.63		10.77		+1.13%		2.82%		2,934,900	31,716,000	2.55		0		
2000-08-02,三	10.80		10.82		10.66		10.80		+0.28%		1.49%		2,321,100	24,902,000	2.01		0		
2000-08-03,四	10.80		10.90		10.75		10.77		-0.28%		1.39%		2,732,000	29,528,000	2.37		0		
2000-08-04,五	10.80		11.00		10.65		10.98		+1.95%		3.25%		4,318,800	46,624,000	3.75		0		
2000-08-07,一	10.97		11.15		10.79		11.06		+0.73%		3.28%		3,995,200	44,004,000	3.47		0		
2000-08-08,二	11.10		11.11		10.90		10.98		-0.72%		1.90%		2,835,700	31,222,000	2.46		0		
2000-08-09,三	10.98		11.05		10.90		10.93		-0.46%		1.37%		2,578,100	28,260,000	2.24		0		
2000-08-10,四	10.93		11.02		10.80		10.99		+0.55%		2.01%		2,815,000	30,687,000	2.44		0		
2000-08-11,五	11.00		11.02		10.88		10.90		-0.82%		1.27%		1,737,600	18,972,000	1.51		0		
2000-08-14,一	10.95		11.28		10.91		11.28		+3.49%		3.39%		6,493,300	72,581,000	5.64		0		
2000-08-15,二	11.35		11.40		11.16		11.22		-0.53%		2.13%		4,196,400	47,343,000	3.64		0		
2000-08-16,三	11.23		11.29		11.08		11.18		-0.36%		1.87%		2,725,300	30,409,000	2.37		0		
2000-08-17,四	11.22		11.38		11.18		11.24		+0.54%		1.79%		3,067,100	34,575,000	2.66		0		
2000-08-18,五	11.24		11.29		11.10		11.17		-0.62%		1.69%		2,285,900	25,533,000	1.98		0		
2000-08-21,一	11.17		11.24		11.05		11.20		+0.27%		1.70%		2,792,100	31,149,000	2.42		0		
2000-08-22,二	11.22		11.58		11.21		11.25		+0.45%		3.30%		6,335,000	72,127,000	5.50		0		
2000-08-23,三	11.20		11.75		10.85		11.61		+3.20%		8.00%		11,183,100	127,166,000	9.71		0		
2000-08-24,四	11.68		11.75		11.41		11.68		+0.60%		2.93%		7,273,500	84,518,000	6.31		0		
2000-08-25,五	11.69		11.73		11.55		11.69		+0.09%		1.54%		4,109,400	47,798,000	3.57		0		
2000-08-28,一	11.79		12.18		11.79		12.10		+3.51%		3.34%		7,485,600	90,083,000	6.50		0		
2000-08-29,二	12.14		12.18		12.00		12.10		+0.00%		1.49%		4,209,100	50,868,000	3.65		0		
2000-08-30,三	12.12		12.17		11.90		11.91		-1.57%		2.23%		4,883,000	58,635,000	4.24		0		
2000-08-31,四	11.81		11.85		11.40		11.41		-4.20%		3.78%		5,596,700	64,999,000	4.86		0		
2000-09-01,五	11.23		11.50		11.20		11.30		-0.96%		2.63%		3,270,200	37,189,000	2.84		0		
2000-09-04,一	11.30		11.50		11.20		11.50		+1.77%		2.65%		2,354,800	0		2.04		0		
2000-09-05,二	11.50		11.58		11.12		11.15		-3.04%		4.00%		1,970,400	0		1.71		0		
2000-09-06,三	11.10		11.10		10.87		10.90		-2.24%		2.06%		2,015,000	0		1.75		0		
2000-09-07,四	10.88		11.14		10.86		11.09		+1.74%		2.57%		1,468,000	0		1.27		0		
2000-09-08,五	11.09		11.15		11.00		11.11		+0.18%		1.35%		1,061,000	0		0.921		0		
2000-09-11,一	11.15		11.19		11.00		11.17		+0.54%		1.71%		712,200		0		0.618		0		
2000-09-12,二	11.15		11.21		11.06		11.19		+0.18%		1.34%		796,600		0		0.691		0		
2000-09-13,三	11.16		11.36		11.11		11.25		+0.54%		2.23%		1,252,400	0		1.09		0		
2000-09-14,四	11.28		11.33		11.12		11.13		-1.07%		1.87%		771,000		0		0.669		0		
2000-09-15,五	11.14		11.15		11.01		11.09		-0.36%		1.26%		789,700		0		0.686		0		
2000-09-18,一	11.10		11.10		10.91		10.94		-1.35%		1.71%		833,500		0		0.724		0		
2000-09-19,二	10.80		10.86		10.65		10.65		-2.65%		1.92%		1,166,600	0		1.01		0		
2000-09-20,三	10.58		10.79		10.58		10.75		+0.94%		1.97%		935,100		0		0.812		0		
2000-09-21,四	10.78		10.85		10.66		10.66		-0.84%		1.77%		541,500		0		0.470		0		
2000-09-22,五	10.58		10.68		10.52		10.59		-0.66%		1.50%		514,600		0		0.447		0		
2000-09-25,一	10.59		10.59		10.25		10.28		-2.93%		3.21%		955,300		0		0.829		0		
2000-09-26,二	10.28		10.50		10.28		10.39		+1.07%		2.14%		456,800		0		0.397		0		
2000-09-27,三	10.45		10.58		10.38		10.51		+1.15%		1.92%		370,600		3,886,000	0.322		405		
2000-09-29,五	10.50		10.75		10.48		10.52		+0.10%		2.57%		537,000		5,678,000	0.466		342		
2000-10-09,一	10.58		10.67		10.38		10.62		+0.95%		2.76%		643,200		6,727,000	0.558		347		
2000-10-10,二	10.70		10.75		10.65		10.72		+0.94%		0.94%		591,200		6,333,000	0.513		502		
2000-10-11,三	10.72		10.72		10.60		10.61		-1.03%		1.12%		505,200		0		0.439		0		
2000-10-12,四	10.58		10.60		10.40		10.50		-1.04%		1.89%		519,600		0		0.451		0		
2000-10-13,五	10.50		10.73		10.45		10.59		+0.86%		2.67%		677,300		0		0.588		0		
2000-10-16,一	10.58		10.63		10.40		10.48		-1.04%		2.17%		534,400		0		0.464		0		
2000-10-17,二	10.50		10.53		10.45		10.52		+0.38%		0.76%		286,800		0		0.249		0		
